poste,effet_md_eur,destination,commentaire
part_carbone_accises_carburants,-12,dividende,"117 Mt de CO2 routier à 100 EUR/t — 94 pct des 124.9 Mt du secteur transports, Citepa 2024"
part_carbone_gaz_et_fioul,-5,dividende,environ 50 Mt hors installations sous quotas européens
accise_electricite_supprimee,-8,aucune,ramenée au minimum européen de 1 EUR/MWh
tva_assise_sur_accises_supprimees,-2,aucune,un impôt sur un impôt disparaît avec l'impôt
contribution_tarifaire_acheminement,-2,budget_des_retraites,"dépense inchangée, support changé"
total_a_financer,-29,,soit de l'ordre de 1 pct du produit intérieur brut
redevance_usage_route_conservee,18,budget,ancienne accise carburant nette de sa part carbone — hors total
carbone_nouvellement_taxe,4,dividende,"kérosène intérieur, charbon et usages exonérés — hors total"
